,index,k__Bacteria,k__Archaea,Unassigned
0,L1S105,1.0000000000000002,0.0,0.0
1,L1S140,1.0000000000000004,0.0,0.0
2,L1S208,1.0000000000000004,0.0,0.0
3,L1S257,1.0000000000000004,0.0,0.0
4,L1S281,1.0000000000000004,0.0,0.0
5,L1S57,1.0000000000000004,0.0,0.0
6,L1S76,1.0000000000000002,0.0,0.0
7,L1S8,1.0000000000000002,0.0,0.0
8,L2S155,1.0000000000000002,0.0,0.0
9,L2S175,1.0000000000000004,0.0,0.0
10,L2S204,1.0000000000000002,0.0,0.0
11,L2S222,1.0000000000000004,0.0,0.0
12,L2S240,1.0000000000000002,0.0,0.0
13,L2S309,1.0000000000000004,0.0,0.0
14,L2S357,1.0000000000000004,0.0,0.0
15,L2S382,1.0000000000000004,0.0,0.0
16,L3S242,1.0000000000000002,0.0,0.0
17,L3S294,1.0000000000000002,0.0,0.0
18,L3S313,1.0000000000000004,0.0,0.0
19,L3S341,1.0000000000000004,0.0,0.0
20,L3S360,1.0000000000000004,0.0,0.0
21,L3S378,1.0000000000000002,0.0,0.0
22,L4S112,1.0000000000000004,0.0,0.0
23,L4S137,1.0000000000000004,0.0,0.0
24,L4S63,1.0000000000000004,0.0,0.0
25,L5S104,1.0,0.0,0.0
26,L5S155,1.0,0.0,0.0
27,L5S174,1.0,0.0,0.0
28,L5S203,1.0,0.0,0.0
29,L5S222,1.0000000000000002,0.0,0.0
30,L5S240,1.0000000000000002,0.0,0.0
31,L6S20,1.0000000000000002,0.0,0.0
32,L6S68,1.0000000000000002,0.0,0.0
33,L6S93,1.0000000000000002,0.0,0.0
