	faith_pd
L1S105	6.3855227244369495
L1S140	5.929980279507815
L1S208	6.2888373028733735
L1S257	7.760344525262649
L1S281	6.09604011238468
L1S57	5.799407221135169
L1S76	5.838536948831086
L1S8	4.581990533240482
L2S155	16.47220015515027
L2S175	13.582806622131402
L2S204	15.934930526892781
L2S222	18.604241415531856
L2S240	7.19523888165312
L2S309	13.542561187564706
L2S357	8.97143626796575
L2S382	13.001298927342823
L3S294	8.807914656574397
L3S313	7.818367876795035
L3S378	4.646371648008827
L4S112	15.952697266746416
L4S137	12.756661022457298
L4S63	25.258340390396388
L5S104	5.608631814976501
L5S155	4.361857182127583
L5S174	5.357450764429371
L5S203	5.182951348125943
L5S222	5.311505882170721
L5S240	4.846909735888552
L6S20	7.072738324137967
L6S68	6.058692515950776
L6S93	5.782407104572826
